(46, 26.3265135, 0.10204075000000046)
(27, 26.530594999999998, 0.10204075000000046)
(38, 26.530594999999998, 0.10204075000000046)
(44, 26.530594999999998, 0.10629244791666892)
(46, 26.7346765, 0.10204075000000046)
(27, 26.938758, 0.10204075000000046)
(44, 26.943009697916665, 0.10204075000000046)
(46, 27.1428395, 0.10204075000000046)
(27, 27.346921, 0.10204075000000046)
(38, 27.346921, 0.10204075000000046)
(44, 27.351172697916667, 0.10204075000000046)
(46, 27.5510025, 0.10204075000000046)
(27, 27.755084, 0.10204075000000046)
(44, 27.757209848958333, 0.10204075000000046)
(46, 27.9591655, 0.10204075000000046)
(27, 28.163247, 0.10204075000000046)
(38, 28.163247, 0.10204075000000046)
(44, 28.163247, 0.10629244791666892)
(46, 28.3673285, 0.10204075000000046)
(27, 28.57141, 0.10204075000000046)
(44, 28.575661697916665, 0.10204075000000046)
(38, 28.7754915, 0.10204075000000046)
(27, 28.979573, 0.10204075000000046)
(38, 28.979573, 0.10204075000000046)
(38, 29.28569525, 0.10204075000000046)
(49, 29.387736, 0.10204075000000046)
(27, 29.387736, 0.10204075000000046)
(46, 29.5918175, 0.1020407499999969)
(27, 29.795899, 0.10204075000000046)
(38, 29.795899, 0.10204075000000046)
(44, 29.795899, 0.10629244791666892)
(46, 29.9999805, 0.10204075000000046)
(27, 30.204062, 0.10204075000000046)
(44, 30.208313697916665, 0.10204075000000046)
(46, 30.4081435, 0.1020407499999969)
(27, 30.612225, 0.10204075000000046)
(38, 30.612225, 0.10204075000000046)
(44, 30.616476697916667, 0.10204075000000046)
(46, 30.8163065, 0.10204075000000046)
(27, 31.020388, 0.10204075000000046)
(44, 31.022513848958333, 0.10204075000000046)
(46, 31.2244695, 0.1020407499999969)
(27, 31.428551, 0.10204075000000046)
(38, 31.428551, 0.10204075000000046)
(44, 31.428551, 0.10629244791666892)
(46, 31.6326325, 0.10204075000000046)
(27, 31.836714, 0.10204075000000046)
(44, 31.840965697916666, 0.10204075000000046)
(46, 32.0407955, 0.10204075000000046)
(27, 32.244877, 0.10204075000000046)
(38, 32.244877, 0.10204075000000046)
(44, 32.24912869791667, 0.10204075000000046)
(46, 32.4489585, 0.10204074999999335)
(27, 32.65304, 0.10204075000000046)
(44, 32.65516584895833, 0.10204075000000046)
(46, 32.8571215, 0.10204075000000046)
(27, 33.061203, 0.10204075000000046)
(38, 33.061203, 0.10204075000000046)
(44, 33.061203, 0.10629244791666537)
(46, 33.2652845, 0.10204075000000046)
(27, 33.469366, 0.10204075000000046)
(44, 33.473617697916666, 0.10204075000000046)
